0 	 1000	1100
1001 	 2000	1450
2001 	 3000	1600
3001 	 4000	1750
4001 	 5000	1950
5001 	 6000	2050
6001 	 7000	2200
7001 	 8000	2300
8001 	 9000	2600
9001 	 10000	2750
10001 	 11000	2900
11001 	 12000	2650
12001 	 13000	2500
13001 	 14000	2300
14001 	 15000 	2200
15001 	 16000	2050
16001 	 17000	1850
17001 	 18000	1700
18001 	 19000	1680
19001 	 20000	1650
20001 	 21000	1630
21001 	 22000	1520
22001 	 23000	1505
23001 	 24000	1450
24001 	 25000	1250
25001 	 26000	1200
26001 	 27000	1150
27001 	 28000	1020
28001 	 29000	1030
29001 	 30000	900
30001 	 31000	750
31001 	 32000	800
32001 	 33000	600
33001 	 34000	590
34001 	 35000	550
35001 	 36000	540
36001 	 37000	520
37001 	 38000	525
38001 	 39000	500
39001 	 40000	490
40001 	 41000	480
41001 	 42000	410
42001 	 43000	480
43001 	 44000	405
44001 	 45000	390
45001 	 46000	395
46001 	 47000	310
47001 	 48000	300
48001 	 49000	250
49000 	 50000	240
50001 	 51000	230
51001 	 52000	220
52001 	 53000	220
53001 	 54000	200
54001 	 55000	190
55001 	 56000	190
56001 	 57000	140
57001 	 58000	140
58001 	 59000	50
59001 	 60000	50
60001 	 61000	25
61001 	 62000	25
62001 	 63000	20
63001 	 64000	10
64001 	 65000	5
